date,shortwave_radiation
2025-06-29 00:00:00+00:00,0.0
2025-06-29 01:00:00+00:00,0.0
2025-06-29 02:00:00+00:00,0.0
2025-06-29 03:00:00+00:00,0.0
2025-06-29 04:00:00+00:00,0.25
2025-06-29 05:00:00+00:00,41.0
2025-06-29 06:00:00+00:00,157.0
2025-06-29 07:00:00+00:00,294.5
2025-06-29 08:00:00+00:00,455.25
2025-06-29 09:00:00+00:00,608.0
2025-06-29 10:00:00+00:00,729.25
2025-06-29 11:00:00+00:00,814.25
2025-06-29 12:00:00+00:00,857.75
2025-06-29 13:00:00+00:00,860.5
2025-06-29 14:00:00+00:00,809.0
2025-06-29 15:00:00+00:00,728.0
2025-06-29 16:00:00+00:00,600.25
2025-06-29 17:00:00+00:00,429.5
2025-06-29 18:00:00+00:00,288.5
2025-06-29 19:00:00+00:00,126.0
2025-06-29 20:00:00+00:00,24.25
2025-06-29 21:00:00+00:00,0.0
2025-06-29 22:00:00+00:00,0.0
2025-06-29 23:00:00+00:00,0.0
